postcodeLeerlingen,schoolNaam,aantalLeerlingen
5161,RK Sch De Rietlanden,3
5171,RK Sch De Rietlanden,1
5211,RK Sch De Rietlanden,4
5212,RK Sch De Rietlanden,3
5213,RK Sch De Rietlanden,19
5215,RK Sch De Rietlanden,3
5216,RK Sch De Rietlanden,12
5221,RK Sch De Rietlanden,6
5223,RK Sch De Rietlanden,8
5224,RK Sch De Rietlanden,12
5231,RK Sch De Rietlanden,23
5233,RK Sch De Rietlanden,15
5235,RK Sch De Rietlanden,11
5236,RK Sch De Rietlanden,6
5237,RK Sch De Rietlanden,17
5241,RK Sch De Rietlanden,1
5242,RK Sch De Rietlanden,2
5243,RK Sch De Rietlanden,3
5244,RK Sch De Rietlanden,7
5245,RK Sch De Rietlanden,5
5246,RK Sch De Rietlanden,10
5247,RK Sch De Rietlanden,5
5248,RK Sch De Rietlanden,2
5251,RK Sch De Rietlanden,10
5253,RK Sch De Rietlanden,1
5254,RK Sch De Rietlanden,1
5256,RK Sch De Rietlanden,2
5258,RK Sch De Rietlanden,8
5261,RK Sch De Rietlanden,2
5262,RK Sch De Rietlanden,11
5263,RK Sch De Rietlanden,1
5268,RK Sch De Rietlanden,3
5271,RK Sch De Rietlanden,12
5275,RK Sch De Rietlanden,1
5281,RK Sch De Rietlanden,2
5282,RK Sch De Rietlanden,8
5283,RK Sch De Rietlanden,12
5296,RK Sch De Rietlanden,3
5298,RK Sch De Rietlanden,5
5301,RK Sch De Rietlanden,5
5302,RK Sch De Rietlanden,1
5306,RK Sch De Rietlanden,4
5313,RK Sch De Rietlanden,1
5321,RK Sch De Rietlanden,8
5324,RK Sch De Rietlanden,5
5325,RK Sch De Rietlanden,2
5327,RK Sch De Rietlanden,2
5331,RK Sch De Rietlanden,5
5334,RK Sch De Rietlanden,2
5343,RK Sch De Rietlanden,2
5344,RK Sch De Rietlanden,3
5345,RK Sch De Rietlanden,2
5346,RK Sch De Rietlanden,1
5351,RK Sch De Rietlanden,1
5382,RK Sch De Rietlanden,1
5384,RK Sch De Rietlanden,2
5386,RK Sch De Rietlanden,1
5388,RK Sch De Rietlanden,2
5391,RK Sch De Rietlanden,1
5392,RK Sch De Rietlanden,1
5396,RK Sch De Rietlanden,1
5397,RK Sch De Rietlanden,1
5401,RK Sch De Rietlanden,1
5402,RK Sch De Rietlanden,1
5406,RK Sch De Rietlanden,1
5461,RK Sch De Rietlanden,1
5463,RK Sch De Rietlanden,1
5464,RK Sch De Rietlanden,1
5465,RK Sch De Rietlanden,1
5467,RK Sch De Rietlanden,3
5473,RK Sch De Rietlanden,4
